word	rt.g1.n	rt.g1.m	rt.g1.se	rt.g2.n	rt.g2.m	rt.g2.se	rt.g3.n	rt.g3.m	rt.g3.se	rt.g4.n	rt.g4.m	rt.g4.se	rt.g6.n	rt.g6.m	rt.g6.se	rt.ya.n	rt.ya.m	rt.ya.se	rt.oa.n	rt.oa.m	rt.oa.se
Dieb	12	3228	340	19	1643	156	20	1009	82	19	1006	78	29	721	41	22	548	27	20	643	30
Diener	10	3452	381	13	1958	206	18	1321	111	22	1060	78	20	793	51	21	578	28	19	702	33
Dienstag	11	3859	415	20	1776	166	20	1122	91	21	899	67	28	723	42	21	544	27	21	682	31
Ding	13	3175	327	19	2000	190	21	1219	97	17	904	72	26	741	44	21	557	27	20	658	30
Direktor	12	4609	485	22	2319	212	18	1439	120	22	1137	84	30	806	46	20	591	29	20	730	33
Doktor	13	4451	459	19	1949	185	21	1225	98	20	942	72	26	776	46	21	575	28	20	658	30
Donnerstag	NA	NA	NA	21	2004	185	23	1241	96	19	935	72	28	720	42	21	540	26	19	675	31
doof	NA	NA	NA	14	1468	151	21	1227	98	16	965	78	27	753	44	20	557	28	17	758	36
Dorf	11	2958	318	24	1456	130	22	1091	86	19	996	77	27	727	42	20	549	27	19	642	30
Dose	NA	NA	NA	13	1390	146	20	957	78	20	789	60	27	731	43	21	541	26	21	659	30
Drache	17	3069	295	21	1933	179	20	1138	92	20	960	73	28	774	45	19	583	29	19	678	32
Draht	NA	NA	NA	14	2480	256	14	1608	145	17	1219	97	24	808	49	20	575	29	20	653	30
Dreck	NA	NA	NA	15	1814	183	18	1316	110	21	921	69	26	809	48	21	559	27	21	681	31
drehen	NA	NA	NA	18	2383	230	19	1250	103	20	945	72	27	747	44	21	539	26	21	676	31
Druck	13	3534	364	17	1620	158	19	1391	114	20	1002	76	29	774	44	19	530	27	20	674	31
dumm	NA	NA	NA	21	1606	149	22	1056	83	19	993	77	25	668	40	21	556	27	21	663	30
dunkel	NA	NA	NA	16	1760	175	19	1223	100	19	990	76	26	703	42	20	539	27	19	678	32
dünn	NA	NA	NA	13	1556	164	17	1132	96	18	917	72	30	736	42	19	540	27	20	673	31
Dunst	NA	NA	NA	6	2045	264	11	1328	128	9	1115	106	15	989	68	19	614	31	20	659	30
Durst	13	3267	337	19	1950	185	19	1192	98	23	944	69	27	740	43	21	569	28	19	656	31
echt	NA	NA	NA	21	1707	158	18	1244	104	19	1025	79	31	775	44	20	520	26	19	707	33
Ecke	19	2869	268	22	1593	146	17	1295	110	20	1001	76	31	764	43	22	549	27	19	659	31
Eichhörnchen	NA	NA	NA	20	2304	216	21	1482	118	19	1221	94	26	843	50	21	617	30	21	743	34
Eimer	18	3001	285	20	1627	152	23	1207	94	19	1009	78	26	792	47	21	602	29	19	705	33
einfach	NA	NA	NA	21	1722	159	19	1095	90	20	999	76	29	670	38	21	540	26	20	663	30
Eingang	16	3630	355	18	1822	176	21	1221	98	19	1017	78	26	754	45	20	552	27	20	670	31
eingeben	NA	NA	NA	20	2412	226	22	1812	143	20	1181	90	29	868	50	21	599	29	20	704	32
Einsicht	NA	NA	NA	7	2920	363	11	1796	174	13	1440	124	25	939	56	21	577	28	21	686	31
Eis	16	1979	193	22	1167	107	23	932	73	19	879	68	28	662	38	20	514	26	19	661	31
Eisen	14	3034	307	19	1828	174	18	1432	120	15	1059	87	27	823	48	21	545	27	20	683	31
Eiskugel	NA	NA	NA	21	2241	207	17	1424	121	19	1071	83	30	830	47	22	586	28	20	710	33
Elefant	16	3476	340	19	1940	184	22	1266	100	20	1031	78	27	755	44	20	579	29	21	718	33
Ende	15	2981	296	22	1730	158	16	1216	105	19	903	70	29	689	39	22	549	27	20	651	30
eng	NA	NA	NA	13	2109	222	14	1273	115	15	1183	98	21	926	58	20	572	28	20	707	32
Engel	13	3141	324	18	1960	189	19	1196	98	18	904	71	27	695	41	20	529	26	21	662	30
Enkelin	NA	NA	NA	6	3101	401	9	2010	206	9	1358	129	22	1115	69	19	683	34	20	785	36
Ente	20	2665	246	20	1866	175	18	1206	101	20	1000	76	30	681	39	20	543	27	20	646	30
Erbse	12	4086	430	16	2227	221	18	1549	129	19	1095	84	25	866	52	20	568	28	20	696	32
Erde	18	3008	285	19	1548	147	20	1035	84	23	870	63	27	721	42	21	538	26	21	663	30
erfinden	NA	NA	NA	20	2239	210	21	1462	117	17	1167	93	25	795	48	21	564	28	20	683	31
Erfindung	NA	NA	NA	16	2279	227	19	1518	125	16	1310	106	27	868	51	21	563	28	21	693	31
Erinnerung	NA	NA	NA	21	2702	250	18	1694	142	18	1209	95	29	880	50	21	567	28	19	745	35
erklären	NA	NA	NA	23	2475	224	19	1595	131	18	1235	97	28	770	45	20	576	29	20	689	32
erlauben	NA	NA	NA	18	1957	189	20	1445	117	21	1109	83	28	795	46	21	556	27	20	690	32
Ernte	NA	NA	NA	15	2432	246	10	1407	140	14	1171	99	28	825	48	21	590	29	20	747	34
ersticken	NA	NA	NA	17	2525	247	19	1744	144	16	1379	112	26	986	58	21	677	33	20	724	33
erwischen	NA	NA	NA	16	2122	211	19	1654	136	18	1200	94	27	858	50	21	584	29	20	735	34
erzählen	NA	NA	NA	20	1920	180	21	1252	100	18	957	75	27	781	46	20	542	27	20	687	32
erziehen	NA	NA	NA	15	2409	244	20	1788	145	16	1140	92	26	883	52	22	630	31	20	700	32
Esel	NA	NA	NA	16	1667	166	19	1023	84	19	855	66	27	698	41	20	550	27	20	659	30
essen	NA	NA	NA	21	1423	132	23	1153	90	18	814	64	28	720	42	21	545	27	21	649	29
Eule	20	2943	272	23	1421	128	19	1133	93	19	966	74	27	765	45	19	625	31	20	648	30
Explosion	NA	NA	NA	19	2606	247	19	1950	160	20	1300	99	24	955	58	21	623	31	19	755	35
Fabrik	14	3797	384	21	1960	181	18	1515	126	21	1047	78	27	765	45	21	564	28	18	679	32
Fach	18	2840	269	17	1567	153	19	1137	94	20	1065	81	26	773	46	20	574	28	20	671	31
Faden	13	3739	385	16	2069	206	17	1392	118	18	1155	90	25	866	52	17	650	34	18	734	35
Fahne	14	3111	315	23	2058	186	19	1488	122	19	1061	82	27	841	49	21	563	28	20	688	32
Fähre	6	3758	471	17	2237	219	16	1308	113	17	1391	111	26	908	54	20	618	31	20	671	31
fahren	NA	NA	NA	20	1766	165	20	1301	106	20	939	71	27	704	41	21	573	28	21	619	28
Fahrrad	18	3952	375	15	2034	206	21	1158	92	21	930	70	27	708	41	21	534	26	20	693	32
Fall	12	3108	327	16	1620	161	16	1241	107	17	1139	91	25	722	43	21	538	26	20	642	29
Familie	NA	NA	NA	18	2002	193	21	1307	105	20	1068	81	25	746	45	19	556	28	21	700	32
fangen	NA	NA	NA	18	1903	183	21	1358	109	21	946	71	26	702	41	17	584	30	21	654	30
