noun	adj	Meaningful	Subject	order	condition	resp_resp	accuracy	RTs	NA_ID	TMS_Timing	DistSim	surprisal	noun_comp	adj_comp
sole	caldo	1	34	68	cz	1	1	510,94574	solecaldo	adj	0,407712	2,804121005	0,81229	0,863756
sole	freddo	0	34	50	cz	0	1	556,60768	solefreddo	adj	0,375852	NA	NA	NA
sorriso	depresso	0	34	47	cz	0	1	1144,22329	sorrisodepresso	adj	0,156377	NA	NA	NA
sorriso	diabolico	1	34	30	cz	1	1	572,78083	sorrisodiabolico	adj	0,163101	3,379231329	0,769189	0,75592
sorriso	divertito	1	34	11	cz	1	1	1113,51771	sorrisodivertito	adj	0,38173	2,536962579	0,860325	0,799556
specchio	muto	0	34	6	cz	0	1	761,93294	specchiomuto	adj	0,23194	NA	NA	NA
stazione	centrale	1	34	17	cedx	1	1	625,37278	stazionecentrale	adj	0,312104	1,458213196	0,866898	0,744147
stazione	laterale	0	34	60	cedx	0	1	576,01064	stazionelaterale	adj	0,19907	NA	NA	NA
stella	rossa	1	34	46	cedx	1	1	633,36779	stellarossa	adj	0,332912	2,256070108	0,818599	0,814124
stella	verde	0	34	15	cz	0	1	645,84277	stellaverde	adj	0,086498	NA	NA	NA
torre	medievale	1	34	33	cz	1	1	609,57866	torremedievale	adj	0,245661	2,45470966	0,806321	0,771434
torre	moderna	0	34	36	cedx	0	1	633,82001	torremoderna	adj	0,107438	NA	NA	NA
uniforme	militare	1	34	8	cz	1	1	457,75022	uniformemilitare	adj	0,232102	2,260453018	0,807289	0,761413
uova	fresche	1	34	70	cz	1	1	427,08955	uovafresche	adj	0,322646	1,985988857	0,854402	0,767493
uova	stantie	0	34	41	cedx	0	1	905,58186	uovastantie	adj	0,135536	NA	NA	NA
uva	bianca	1	34	23	cedx	1	1	611,75226	uvabianca	adj	0,151458	2,019035585	0,843283	0,658991
uva	marrone	0	34	12	cedx	0	1	484,8522	uvamarrone	adj	0,16491	NA	NA	NA
vedova	bianca	0	34	56	cedx	0	1	518,42127	vedovabianca	adj	0,191579	NA	NA	NA
vedova	nera	1	34	31	cz	1	1	360,19767	vedovanera	adj	0,219782	1,743642921	0,792584	0,769049
zucchero	amaro	0	34	49	cz	0	1	861,06363	zuccheroamaro	adj	0,324915	NA	NA	NA
zucchero	dolce	1	34	26	cz	1	1	501,60558	zuccherodolce	adj	0,345696	3,997025779	0,882893	0,745836
albicocca	secca	1	35	52	cedx	1	1	677,54666	albicoccasecca	adj	0,281248	1,802891628	0,862305	0,72847
albicocca	viola	0	35	8	cedx	0	1	375,02539	albicoccaviola	adj	0,472329	NA	NA	NA
alghe	fossili	0	35	56	cz	0	1	624,74993	alghefossili	adj	0,291178	NA	NA	NA
alghe	marine	1	35	41	cz	1	1	473,41499	alghemarine	adj	0,391601	1,497166264	0,874111	0,789236
animale	adolescente	0	35	69	cedx	0	1	633,67677	animaleadolescente	adj	0,135533	NA	NA	NA
animale	adulto	1	35	28	cedx	1	1	776,06113	animaleadulto	adj	0,381247	3,114697454	0,850281	0,810744
arancia	salata	0	35	16	cz	0	1	569,8915	aranciasalata	adj	0,123622	NA	NA	NA
arma	bianca	1	35	68	cz	0	0	389,16699	armabianca	adj	0,063105	2,486266785	0,783976	0,669027
arma	nera	0	35	32	cedx	1	0	315,75284	armanera	adj	0,00719	NA	NA	NA
arma	perdente	0	35	65	cz	0	1	598,30069	armaperdente	adj	0,122469	NA	NA	NA
arma	vincente	1	35	31	cz	0	0	405,12412	armavincente	adj	0,180489	2,417879548	0,777351	0,759039
automobile	agonistica	0	35	13	cedx	0	1	569,34869	automobileagonistica	adj	0,173177	NA	NA	NA
automobile	sportiva	1	35	24	cedx	1	1	457,62297	automobilesportiva	adj	0,241369	3,143027818	0,794132	0,781456
avvocato	attaccante	0	35	5	cz	1	0	883,63326	avvocatoattaccante	adj	0,240921	NA	NA	NA
avvocato	difensore	1	35	50	cedx	1	1	487,92305	avvocatodifensore	adj	0,556835	1,903483344	0,863248	0,899969
bacio	distaccato	0	35	38	cz	1	0	785,20007	baciodistaccato	adj	0,016741	NA	NA	NA
bacio	passionale	1	35	6	cz	1	1	549,05554	baciopassionale	adj	0,278426	3,270144858	0,788474	0,810279
banana	rosa	0	35	69	cz	0	1	499,7705	bananarosa	adj	0,185339	NA	NA	NA
bandiera	bianca	1	35	48	cedx	1	1	480,59293	bandierabianca	adj	0,315268	1,719294001	0,86767	0,745336
barba	lunga	1	35	44	cz	1	1	384,31728	barbalunga	adj	0,188404	1,646081813	0,836519	0,695729
bistecca	bassa	0	35	66	cz	0	1	468,11711	bisteccabassa	adj	0,059595	NA	NA	NA
bottiglia	ocra	0	35	40	cedx	0	1	503,81103	bottigliaocra	adj	0,146795	NA	NA	NA
bottiglia	verde	1	35	11	cz	1	1	553,40316	bottigliaverde	adj	0,101314	3,189898461	0,824763	0,646129
braccio	armato	1	35	1	cz	1	1	716,55881	braccioarmato	adj	0,247112	1,970381318	0,781877	0,797309
braccio	calmo	0	35	42	cz	0	1	693,53605	bracciocalmo	adj	0,177834	NA	NA	NA
braccio	inerme	0	35	53	cedx	1	0	824,86336	braccioinerme	adj	0,273296	NA	NA	NA
brezza	diurna	0	35	25	cedx	1	0	511,10595	brezzadiurna	adj	0,31246	NA	NA	NA
brezza	notturna	1	35	2	cz	1	1	544,18257	brezzanotturna	adj	0,185744	1,987930958	0,844817	0,682665
cane	fedele	1	35	62	cedx	1	1	408,31537	canefedele	adj	0,121937	3,12177003	0,77227	0,724722
cane	infido	0	35	37	cedx	0	1	655,35054	caneinfido	adj	0,206082	NA	NA	NA
carota	grassa	0	35	25	cz	0	1	409,36537	carotagrassa	adj	0,178164	NA	NA	NA
casco	beige	0	35	9	cz	1	0	561,27224	cascobeige	adj	0,2154	NA	NA	NA
cavallo	pazzo	1	35	1	cedx	0	0	615,04346	cavallopazzo	adj	0,280735	2,396594899	0,802758	0,797686
cavallo	razionale	0	35	56	cedx	0	1	619,93047	cavallorazionale	adj	0,096536	NA	NA	NA
caverna	buia	1	35	43	cedx	1	1	455,42806	cavernabuia	adj	0,452417	2,296283561	0,870133	0,833161
cenere	gialla	0	35	4	cedx	0	1	472,99622	ceneregialla	adj	0,177565	NA	NA	NA
cuore	affollato	0	35	64	cz	0	1	569,42621	cuoreaffollato	adj	0,05298	NA	NA	NA
cuore	aperto	1	35	2	cedx	1	1	582,48339	cuoreaperto	adj	0,132319	2,561050708	0,742399	0,762301
cuore	logico	0	35	19	cz	0	1	636,26243	cuorelogico	adj	0,050038	NA	NA	NA
cuore	matto	1	35	20	cz	1	1	474,84813	cuorematto	adj	0,047218	3,438634502	0,61746	0,81488
cuore	solitario	1	35	24	cz	1	1	564,65878	cuoresolitario	adj	0,148801	2,820027958	0,708112	0,803607
denaro	difficile	0	35	54	cedx	1	0	534,41129	denarodifficile	adj	0,046268	NA	NA	NA
denaro	facile	1	35	10	cz	1	1	467,48316	denarofacile	adj	0,136871	2,799313193	0,817104	0,682903
denaro	sporco	1	35	21	cedx	1	1	531,41279	denarosporco	adj	0,357089	1,820140731	0,818283	0,829117
elefante	africano	1	35	45	cedx	1	1	568,16621	elefanteafricano	adj	0,382056	1,878454206	0,853199	0,807987
elefante	europeo	0	35	37	cz	0	1	660,19431	elefanteeuropeo	adj	0,121022	NA	NA	NA
erba	rossa	0	35	26	cz	0	1	457,51772	erbarossa	adj	0,158657	NA	NA	NA
erba	secca	1	35	28	cz	1	1	1282,35593	erbasecca	adj	0,190331	2,273163785	0,827444	0,708771
famiglia	semplice	1	35	3	cedx	1	1	845,67683	famigliasemplice	adj	-0,05081	4,177699425	0,734013	0,640959
ferita	aperta	1	35	68	cedx	1	1	404,23217	feritaaperta	adj	0,201439	1,964252989	0,839596	0,701203
ferita	otturata	0	35	19	cedx	0	1	644,70422	feritaotturata	adj	0,308061	NA	NA	NA
ferro	caldo	1	35	50	cz	1	1	710,18852	ferrocaldo	adj	0,249321	2,92151307	0,814626	0,764775
fiamma	pigra	0	35	35	cz	0	1	644,32351	fiammapigra	adj	0,045414	NA	NA	NA
fiamma	viva	1	35	47	cz	1	1	425,29232	fiammaviva	adj	0,216274	2,279429335	0,853498	0,693353
folla	rinsavita	0	35	9	cedx	0	1	766,31632	follarinsavita	adj	0,160667	NA	NA	NA
formaggio	fiacco	0	35	22	cedx	0	1	517,4708	formaggiofiacco	adj	0,076118	NA	NA	NA
formaggio	fresco	1	35	21	cz	1	1	416,28245	formaggiofresco	adj	0,406516	1,605466861	0,87782	0,794474
fragola	fresca	1	35	57	cedx	1	1	512,54056	fragolafresca	adj	0,282877	3,860637417	0,803578	0,798203
fragola	rancida	0	35	59	cedx	1	0	614,10878	fragolarancida	adj	0,336059	NA	NA	NA
fumo	nero	1	35	70	cz	0	0	439,22824	fumonero	adj	0,187792	1,934960346	0,8382	0,693067
fumo	pulito	0	35	14	cedx	0	1	558,81893	fumopulito	adj	0,158131	NA	NA	NA
gallina	giovane	0	35	67	cedx	0	1	807,33326	gallinagiovane	adj	0,173204	NA	NA	NA
gallina	vecchia	1	35	6	cedx	1	1	858,14098	gallinavecchia	adj	0,236694	2,002513173	0,874646	0,678011
ghiaccio	snello	0	35	4	cz	0	1	552,59195	ghiacciosnello	adj	0,039913	NA	NA	NA
gufo	muto	0	35	26	cedx	0	1	633,9576	gufomuto	adj	0,184299	NA	NA	NA
gufo	parlante	1	35	44	cedx	0	0	635,54286	gufoparlante	adj	0,276014	3,04453976	0,775149	0,821188
inverno	lento	0	35	49	cz	0	1	665,42822	invernolento	adj	0,128872	NA	NA	NA
inverno	lungo	1	35	57	cz	1	1	486,78638	invernolungo	adj	0,13534	2,869845258	0,818146	0,680448
investigatore	pubblico	0	35	42	cedx	0	1	984,74157	investigatorepubblico	adj	0,26436	NA	NA	NA
lago	maggiore	1	35	52	cz	1	1	479,03686	lagomaggiore	adj	0,077047	1,293199897	0,843189	0,600984
latte	diviso	0	35	40	cz	0	1	502,0775	lattediviso	adj	0,060378	NA	NA	NA
latte	materno	1	35	58	cedx	1	1	634,02416	lattematerno	adj	0,39702	1,646809708	0,836518	0,835019
latte	paterno	0	35	18	cz	0	1	594,83335	lattepaterno	adj	0,030377	NA	NA	NA
letto	caldo	1	35	11	cedx	1	1	358,03566	lettocaldo	adj	0,178368	3,240072488	0,754475	0,780378
letto	temperato	0	35	13	cz	0	1	525,07756	lettotemperato	adj	0,036329	NA	NA	NA
limone	blu	0	35	64	cedx	0	1	404,47152	limoneblu	adj	0,262335	NA	NA	NA
limone	giallo	1	35	41	cedx	1	1	377,19417	limonegiallo	adj	0,276293	3,244636915	0,83999	0,753563
limone	rosso	0	35	67	cz	0	1	456,88153	limonerosso	adj	0,301269	NA	NA	NA
mela	gialla	1	35	34	cedx	1	1	342,01142	melagialla	adj	0,251848	3,066270004	0,788762	0,793533
mela	nera	0	35	15	cz	0	1	477,21037	melanera	adj	0,114461	NA	NA	NA
mela	rossa	1	35	43	cz	1	1	616,86876	melarossa	adj	0,195855	2,63490624	0,764355	0,782011
melanzana	gialla	0	35	39	cedx	0	1	485,11424	melanzanagialla	adj	0,352686	NA	NA	NA
melanzana	viola	1	35	55	cedx	1	1	431,01903	melanzanaviola	adj	0,211252	2,720737977	0,777986	0,778453
notte	opaca	0	35	61	cz	0	1	543,83937	notteopaca	adj	0,067427	NA	NA	NA
notte	superficiale	0	35	39	cz	0	1	673,28348	nottesuperficiale	adj	-0,01228	NA	NA	NA
oca	bianca	1	35	70	cedx	1	1	582,31807	ocabianca	adj	0,271075	2,227993766	0,864455	0,71822
orso	affamato	1	35	55	cz	1	1	559,99191	orsoaffamato	adj	0,256477	3,131003459	0,801456	0,783603
orso	polare	1	35	60	cedx	1	1	379,49132	orsopolare	adj	0,262964	1,605958652	0,781128	0,807805
orso	sazio	0	35	14	cz	0	1	496,59356	orsosazio	adj	0,105814	NA	NA	NA
orso	tropicale	0	35	54	cz	0	1	716,50769	orsotropicale	adj	0,186279	NA	NA	NA
pecora	nera	1	35	12	cz	1	1	346,87335	pecoranera	adj	0,269043	1,492089765	0,832878	0,757129
pelle	sensibile	1	35	62	cz	1	1	344,48771	pellesensibile	adj	0,235845	2,607198634	0,820895	0,748574
peperone	cremisi	0	35	49	cedx	0	1	2627,19235	peperonecremisi	adj	0,22132	NA	NA	NA
peperone	giallo	1	35	58	cz	1	1	450,10937	peperonegiallo	adj	0,407756	1,35019202	0,892293	0,776059
peperone	ocra	0	35	66	cedx	0	1	418,62876	peperoneocra	adj	0,30173	NA	NA	NA
peperone	rosso	1	35	51	cedx	1	1	282,7571	peperonerosso	adj	0,411046	1,187366743	0,899929	0,76741
pera	corta	0	35	16	cedx	0	1	608,3563	peracorta	adj	0,156699	NA	NA	NA
persona	aperta	1	35	47	cedx	1	1	468,49767	personaaperta	adj	0,016258	4,336303373	0,666357	0,756368
pianeta	blu	0	35	15	cedx	1	0	576,34099	pianetablu	adj	0,108379	NA	NA	NA
pianeta	rosso	1	35	33	cedx	1	1	557,87859	pianetarosso	adj	0,133895	1,730210105	0,78321	0,721027
piccione	verde	0	35	63	cz	0	1	1062,00048	piccioneverde	adj	0,178005	NA	NA	NA
poltrona	piena	0	35	63	cedx	0	1	749,09144	poltronapiena	adj	0,027325	NA	NA	NA
