subject	condition	task	word	category	accuracy	raw_rt	log10_rt
11	pIPL	S	Biber	__	1	1338.0	3.1264561134318045	
11	pIPL	S	Elefant	S_	1	759.0	2.88024177589548	
11	pIPL	S	Seife	_A	1	665.0	2.8228216453031045	
11	pIPL	S	Xylophon	SA	1	812.0	2.9095560292411755	
11	pIPL	S	Satellit	__	1	825.0	2.916453948549925	
11	pIPL	S	Qualle	__	1	741.0	2.869818207979328	
11	pIPL	S	Propeller	S_	1	1329.0	3.123524980942732	
11	pIPL	S	Giraffe	__	1	649.0	2.812244696800369	
11	pIPL	S	Gitarre	SA	1	753.0	2.8767949762007006	
11	pIPL	S	Nelke	__	1	618.0	2.790988475088816	
11	pIPL	S	Krawatte	_A	1	684.0	2.835056101720116	
11	pIPL	S	Keyboard	SA	1	797.0	2.9014583213961123	
11	pIPL	S	Gong	SA	1	621.0	2.79309160017658	
11	pIPL	S	Moped	SA	1	1073.0	3.030599721965951	
11	pIPL	S	Piranha	__	1	839.0	2.9237619608287004	
11	pIPL	S	Frisbee	_A	1	925.0	2.9661417327390325	
11	pIPL	S	Schraube	_A	1	713.0	2.8530895298518657	
11	pIPL	S	Fön	SA	1	724.0	2.859738566197147	
11	pIPL	S	Zwiebel	_A	1	701.0	2.8457180179666586	
11	pIPL	S	Spatz	S_	1	587.0	2.7686381012476144	
11	pIPL	S	Telefon	SA	1	1173.0	3.0692980121155293	
11	pIPL	S	Trompete	SA	1	568.0	2.754348335711019	
11	pIPL	S	Tornado	S_	1	1235.0	3.0916669575956846	
11	pIPL	S	Käfer	__	1	686.0	2.8363241157067516	
11	pIPL	S	Pferd	SA	1	624.0	2.795184589682424	
11	pIPL	S	Flöte	SA	1	749.0	2.8744818176994666	
11	pIPL	S	Eule	S_	1	544.0	2.73559889969818	
11	pIPL	S	Hornisse	S_	1	897.0	2.952792443044092	
11	pIPL	S	Lüftung	S_	1	925.0	2.9661417327390325	
11	pIPL	S	Floh	__	1	1156.0	3.0629578340845103	
11	pIPL	S	Lanze	_A	1	770.0	2.886490725172482	
11	pIPL	S	Krähe	S_	1	692.0	2.840106094456758	
11	pIPL	S	Kontrabass	SA	1	752.0	2.876217840591642	
11	pIPL	S	Perücke	_A	1	774.0	2.8887409606828927	
11	pIPL	S	Henne	S_	1	857.0	2.932980821923198	
11	pIPL	S	Höhle	__	1	602.0	2.7795964912578244	
11	pIPL	S	Seil	_A	1	647.0	2.8109042806687006	
11	pIPL	S	Baby	SA	1	809.0	2.9079485216122722	
11	pIPL	S	Margerite	__	1	633.0	2.801403710017355	
11	pIPL	S	Cello	SA	1	788.0	2.8965262174895554	
11	pIPL	S	Raupe	__	1	1021.0	3.0090257420869104	
11	pIPL	S	Ukulele	SA	1	601.0	2.7788744720027396	
11	pIPL	S	Tandem	_A	1	637.0	2.8041394323353503	
11	pIPL	S	Zange	_A	1	1340.0	3.1271047983648077	
11	pIPL	S	Mikrofon	SA	1	684.0	2.835056101720116	
11	pIPL	S	Spinne	__	1	623.0	2.7944880466591697	
11	pIPL	S	Turbine	S_	1	670.0	2.8260748027008264	
11	pIPL	S	Drossel	S_	1	929.0	2.968015713993642	
11	pIPL	S	Kröte	S_	1	961.0	2.9827233876685453	
11	pIPL	S	Zwetschge	_A	1	817.0	2.9122220565324155	
11	pIPL	S	Wasserfall	S_	1	836.0	2.9222062774390163	
11	pIPL	S	Sirene	S_	1	696.0	2.842609239610562	
11	pIPL	S	Kamm	_A	1	598.0	2.776701183988411	
11	pIPL	S	Plakette	__	1	693.0	2.8407332346118066	
11	pIPL	S	Gewehr	SA	1	1016.0	3.0068937079479006	
11	pIPL	S	Skorpion	__	1	626.0	2.7965743332104296	
11	pIPL	S	Zigarette	_A	1	764.0	2.8830933585756897	
11	pIPL	S	Cembalo	SA	1	622.0	2.7937903846908188	
11	pIPL	S	Waffel	_A	1	639.0	2.8055008581584002	
11	pIPL	S	Alge	__	1	665.0	2.8228216453031045	
11	pIPL	S	Ananas	_A	1	610.0	2.785329835010767	
11	pIPL	S	Ferkel	S_	1	953.0	2.979092900638326	
11	pIPL	S	Specht	S_	1	781.0	2.8926510338773004	
11	pIPL	S	Kanone	SA	1	721.0	2.857935264719429	
11	pIPL	S	Flyer	_A	1	618.0	2.790988475088816	
11	pIPL	S	Kleber	_A	1	631.0	2.8000293592441343	
11	pIPL	S	Geröll	S_	0	1527.0	3.1838390370564214	
11	pIPL	S	Mast	__	1	815.0	2.9111576087399764	
11	pIPL	S	Peitsche	SA	1	974.0	2.9885589568786157	
11	pIPL	S	Bohrer	SA	1	718.0	2.8561244442423	
11	pIPL	S	Balken	__	1	728.0	2.862131379313037	
11	pIPL	S	Häcksler	SA	1	894.0	2.951337518795918	
