Subject	Age	Gender	Scolarity	Handedness	Session	Stimulus_Type	Ita_Word	Eng_Word	Accuracy	RTs
1	22	male	16	right	1	Word	BAMBOLA	doll	1	474
1	22	male	16	right	1	Word	HUMOR	humor	1	529
1	22	male	16	right	1	Word	EROINA	heroin	1	477
1	22	male	16	right	1	Pseudoword	BERRE		1	1443
1	22	male	16	right	1	Word	TABACCO	tobacco	1	522
1	22	male	16	right	1	Pseudoword	FACASCE		1	757
1	22	male	16	right	1	Word	YACHT	yacht	1	714
1	22	male	16	right	1	Word	SILENZIOSO	quiet	1	579
1	22	male	16	right	1	Pseudoword	INTARFATO		1	676
1	22	male	16	right	1	Pseudoword	TAVASA		1	1085
1	22	male	16	right	1	Pseudoword	ATLANTIMI		1	609
1	22	male	16	right	1	Pseudoword	DILIRRO		1	700
1	22	male	16	right	1	Word	SCIMMIA	monkey	1	617
1	22	male	16	right	1	Word	PUZZA	stink	1	668
1	22	male	16	right	1	Word	FERRO	iron	1	449
1	22	male	16	right	1	Pseudoword	FAVISI		1	483
1	22	male	16	right	1	Pseudoword	FAENGLA		1	613
1	22	male	16	right	1	Word	VERDE	green	1	695
1	22	male	16	right	1	Pseudoword	POLTUSTO		1	648
1	22	male	16	right	1	Pseudoword	SOTTOBALLI		1	849
1	22	male	16	right	1	Pseudoword	VUSMI		1	573
1	22	male	16	right	1	Pseudoword	MEITO		1	1264
1	22	male	16	right	1	Pseudoword	SDENTIANDO		1	794
1	22	male	16	right	1	Pseudoword	ASSUBIMI		1	579
1	22	male	16	right	1	Word	FREEZER	icebox	1	724
1	22	male	16	right	1	Pseudoword	PARNANA		1	636
1	22	male	16	right	1	Word	DETESTARE	detest	1	918
1	22	male	16	right	1	Word	PETTEGOLEZZO	gossip	1	910
1	22	male	16	right	1	Word	PUS	pus	1	962
1	22	male	16	right	1	Pseudoword	DISSENE		1	845
1	22	male	16	right	1	Word	POVERTÀ	poverty	1	787
1	22	male	16	right	1	Word	PUTTANA	hooker	1	661
1	22	male	16	right	1	Word	GELATINA	jelly	1	655
1	22	male	16	right	1	Pseudoword	MACADATI		1	797
1	22	male	16	right	1	Word	GUARIRE	heal	1	643
1	22	male	16	right	1	Pseudoword	MUO		1	973
1	22	male	16	right	1	Word	STATUA	statue	1	755
1	22	male	16	right	1	Pseudoword	VIMPIMENTI		1	640
1	22	male	16	right	1	Word	CASA	home	1	651
1	22	male	16	right	1	Word	CHIAVE	key	1	672
1	22	male	16	right	1	Word	TAVOLO	table	1	596
1	22	male	16	right	1	Word	EMICRANIA	headache	1	722
1	22	male	16	right	1	Pseudoword	PESTESMO		1	815
1	22	male	16	right	1	Word	INFERNO	hell	1	619
1	22	male	16	right	1	Pseudoword	STU		1	684
1	22	male	16	right	1	Pseudoword	SUBAPPOSTA		1	720
1	22	male	16	right	1	Word	INDIFESO	helpless	1	685
1	22	male	16	right	1	Pseudoword	VARRENTI		1	542
1	22	male	16	right	1	Word	PECCATO	sin	1	574
1	22	male	16	right	1	Pseudoword	RINSA		1	840
1	22	male	16	right	1	Pseudoword	MICADANI		1	708
1	22	male	16	right	1	Word	VETRO	glass	1	530
1	22	male	16	right	1	Word	AFFASCINARE	fascinate	1	719
1	22	male	16	right	1	Pseudoword	SCENNA		1	936
1	22	male	16	right	1	Pseudoword	EPSUME		1	616
1	22	male	16	right	1	Word	PERDENTE	loser	1	745
1	22	male	16	right	1	Pseudoword	TUNGINI		1	858
1	22	male	16	right	1	Word	RISTORANTE	restaurant	1	768
1	22	male	16	right	1	Word	TORTA	cake	1	1030
1	22	male	16	right	1	Word	FINESTRA	window	1	530
1	22	male	16	right	1	Pseudoword	DELATI		1	684
1	22	male	16	right	1	Word	ISTRUZIONE	education	1	507
1	22	male	16	right	1	Pseudoword	NAMOSCE		1	1043
1	22	male	16	right	1	Pseudoword	RISFOCENTE		1	662
1	22	male	16	right	1	Word	MONTAGNA	mountain	1	489
1	22	male	16	right	1	Word	CADAVERE	corpse	1	639
1	22	male	16	right	1	Pseudoword	LACE		0	870
1	22	male	16	right	1	Word	DOLORE	ache	1	640
1	22	male	16	right	1	Word	TIMIDO	timid	1	545
1	22	male	16	right	1	Word	IGNORANZA	ignorance	1	644
1	22	male	16	right	1	Pseudoword	PEVRUIRRO		1	650
1	22	male	16	right	1	Word	SFERA	sphere	1	634
1	22	male	16	right	1	Pseudoword	ISALE		1	645
